pertanyaan | jawaban benar,jawaban salah,jawaban salah,jawaban salah
2 + 3 = ... | 5,4,6,3
1 + 1 = ... | 2,1,3,0
4 + 5 = ... | 9,8,10,7
6 + 2 = ... | 8,7,9,6
3 + 3 = ... | 6,5,7,4
7 - 2 = ... | 5,4,6,3
9 - 4 = ... | 5,6,4,3
8 - 3 = ... | 5,4,6,7
10 - 5 = ... | 5,4,6,3
6 - 1 = ... | 5,4,6,7
Angka setelah 7 adalah ... | 8,6,9,7
Angka sebelum 5 adalah ... | 4,6,5,3
Bilangan yang lebih besar antara 6 dan 4 adalah ... | 6,4,5,3
Bilangan yang lebih kecil antara 9 dan 3 adalah ... | 3,9,6,7
Urutan angka setelah 3, 4, ... adalah | 5,6,4,3
5 + 4 = ... | 9,8,10,7
2 + 6 = ... | 8,7,9,6
9 - 3 = ... | 6,5,7,4
10 - 7 = ... | 3,4,2,5
1 + 8 = ... | 9,8,10,7
Bangun datar dengan 3 sisi disebut ... | segitiga,lingkaran,persegi,persegi panjang
Bangun datar dengan 4 sisi sama panjang disebut ... | persegi,segitiga,lingkaran,segi lima
Bangun datar yang bulat tanpa sudut disebut ... | lingkaran,segitiga,persegi,persegi panjang
Jumlah jari pada satu tangan adalah ... | 5,4,6,10
Jika ada 3 apel lalu ditambah 2 apel, jumlahnya menjadi ... | 5,4,6,7
Andi punya 8 permen, dimakan 3, sisanya ... | 5,6,4,3
Ada 4 ayam dan 5 bebek, jumlah semuanya ada ... | 9,8,10,7
7 + 0 = ... | 7,8,6,0
0 + 6 = ... | 6,0,5,7
Bilangan genap di antara pilihan berikut adalah ... | 4,3,5,7
